"country","iso2c","iso3c","year","RQ.EST","VA.EST","PV.EST","GE.EST","CC.EST","RL.EST"
"Egypt, Arab Rep.","EG","EGY",2011,-0.246938586235046,-1.13998341560364,-1.43705701828003,-0.435919046401978,-0.633263945579529,-0.483893096446991
"Egypt, Arab Rep.","EG","EGY",2012,-0.385591775178909,-0.765063405036926,-1.43632972240448,-0.681242823600769,-0.579664349555969,-0.536399841308594
"Egypt, Arab Rep.","EG","EGY",2013,-0.557433128356934,-1.05155897140503,-1.63883090019226,-0.782649993896484,-0.613801896572113,-0.735893428325653
"Egypt, Arab Rep.","EG","EGY",2014,-0.687225043773651,-1.17993485927582,-1.63117659091949,-0.715678930282593,-0.575114548206329,-0.698362648487091
"Egypt, Arab Rep.","EG","EGY",2015,-0.775073707103729,-1.18993127346039,-1.49664568901062,-0.658710360527039,-0.578130006790161,-0.586068212985992
"Egypt, Arab Rep.","EG","EGY",2016,-0.881517708301544,-1.20455706119537,-1.43769657611847,-0.498412042856216,-0.569078922271729,-0.465633779764175
"Egypt, Arab Rep.","EG","EGY",2017,-0.795041739940643,-1.25129985809326,-1.42452728748322,-0.496926844120026,-0.473245531320572,-0.433546245098114
"Egypt, Arab Rep.","EG","EGY",2018,-0.789002001285553,-1.32844436168671,-1.18004941940308,-0.418590575456619,-0.492103576660156,-0.284198880195618
"Egypt, Arab Rep.","EG","EGY",2019,-0.742943406105042,-1.4444568157196,-1.11419188976288,-0.216252833604813,-0.634925246238709,-0.318304538726807
"Egypt, Arab Rep.","EG","EGY",2020,-0.556164801120758,-1.48410129547119,-1.16615056991577,-0.420183449983597,-0.789791584014893,-0.310287296772003
"Germany","DE","DEU",2010,1.57068610191345,1.29778325557709,0.796834468841553,1.51548874378204,1.76642882823944,1.63750469684601
"Germany","DE","DEU",2011,1.54886770248413,1.34921073913574,0.842218458652496,1.49992346763611,1.74194991588593,1.61821925640106
"Germany","DE","DEU",2012,1.52908289432526,1.39373803138733,0.775621294975281,1.53066420555115,1.81763017177582,1.66923201084137
"Germany","DE","DEU",2013,1.54434037208557,1.40618407726288,0.92798388004303,1.51082193851471,1.79794359207153,1.64211285114288
"Germany","DE","DEU",2014,1.69703912734985,1.43635880947113,0.925186455249786,1.66535496711731,1.8124965429306,1.85037338733673
"Germany","DE","DEU",2015,1.71824443340302,1.42201721668243,0.699824273586273,1.68278539180756,1.81432867050171,1.78793334960938
"Germany","DE","DEU",2016,1.81396985054016,1.36436975002289,0.68136340379715,1.68976020812988,1.82095551490784,1.61249983310699
"Germany","DE","DEU",2017,1.78114926815033,1.43226385116577,0.587721467018127,1.64512419700623,1.83601438999176,1.60428154468536
"Germany","DE","DEU",2018,1.76180326938629,1.43124651908875,0.591275334358215,1.55609440803528,1.93290781974792,1.62248837947845
"Germany","DE","DEU",2019,1.72160816192627,1.35554444789886,0.574308574199677,1.52456390857697,1.90006673336029,1.61263310909271
"Germany","DE","DEU",2020,1.58733665943146,1.37779092788696,0.684574544429779,1.3521968126297,1.85575437545776,1.54953932762146
"Ghana","GH","GHA",2010,0.0535484589636326,0.514764845371246,0.026093240827322,-0.105485796928406,0.0142804691568017,-0.0332933515310287
"Ghana","GH","GHA",2011,0.0817165300250053,0.484657794237137,0.16711214184761,-0.0929447710514069,-0.0291263181716204,-0.00314407632686198
"Ghana","GH","GHA",2012,0.0985032916069031,0.431352198123932,0.130694985389709,-0.0925012230873108,-0.126568555831909,0.0166694633662701
"Ghana","GH","GHA",2013,0.0618107803165913,0.438854575157166,0.0606060847640038,-0.136944934725761,-0.0965914353728294,0.154275760054588
"Ghana","GH","GHA",2014,-0.0476707369089127,0.4616459608078,-0.106807962059975,-0.311548888683319,-0.194918543100357,0.0636722594499588
"Ghana","GH","GHA",2015,-0.0906599014997482,0.488428711891174,-0.0320993326604366,-0.288247644901276,-0.186141490936279,0.138806775212288
"Ghana","GH","GHA",2016,-0.28921765089035,0.583630621433258,-0.130928620696068,-0.22226570546627,-0.155562236905098,0.0503680408000946
"Ghana","GH","GHA",2017,-0.172003179788589,0.596758425235748,0.0918345004320145,-0.162351951003075,-0.229119285941124,0.128546863794327
"Ghana","GH","GHA",2018,-0.132535591721535,0.54947692155838,-0.0255167707800865,-0.297320187091827,-0.115018449723721,0.0699951499700546
"Ghana","GH","GHA",2019,-0.169835433363914,0.549909234046936,0.134411945939064,-0.265315860509872,-0.0877754911780357,0.0377789214253426
"Ghana","GH","GHA",2020,-0.117155604064465,0.554172694683075,0.184312224388123,-0.165586546063423,-0.105029307305813,-0.0520715899765491
"India","IN","IND",2010,-0.41047203540802,0.443312972784042,-1.27798449993134,0.0291320476680994,-0.463754564523697,-0.0358108207583427
"India","IN","IND",2011,-0.363154947757721,0.435818582773209,-1.32679533958435,0.0198367759585381,-0.540835857391357,-0.0862971395254135
"India","IN","IND",2012,-0.480885624885559,0.399454206228256,-1.28930985927582,-0.159344166517258,-0.513968110084534,-0.0628807470202446
"India","IN","IND",2013,-0.478094786405563,0.432780146598816,-1.22917413711548,-0.160392627120018,-0.517085731029511,-0.0456913113594055
"India","IN","IND",2014,-0.47507643699646,0.413313180208206,-0.997911989688873,-0.225482806563377,-0.457155108451843,-0.0686448365449905
"India","IN","IND",2015,-0.405677318572998,0.427884757518768,-0.948493361473084,0.109133675694466,-0.381759196519852,-0.0500126294791698
"India","IN","IND",2016,-0.300758510828018,0.440999388694763,-0.953839838504791,0.0909590721130371,-0.313535988330841,-0.0378928929567337
"India","IN","IND",2017,-0.240820944309235,0.387066394090652,-0.764801919460297,0.0689344704151154,-0.266855359077454,-0.00962715689092875
"India","IN","IND",2018,-0.212453842163086,0.351978152990341,-0.987013161182404,0.295401304960251,-0.205844283103943,0.0201650634407997
"India","IN","IND",2019,-0.137945577502251,0.269035547971725,-0.770800411701202,0.160742476582527,-0.279873192310333,-0.04256996139884
"India","IN","IND",2020,-0.114247776567936,0.149902850389481,-0.806701302528381,0.405513286590576,-0.270809292793274,-0.0319724306464195
"Indonesia","ID","IDN",2010,-0.380860596895218,-0.0377484634518623,-0.853916168212891,-0.267384022474289,-0.803534507751465,-0.656044900417328
"Indonesia","ID","IDN",2011,-0.310188621282578,-0.00853101350367069,-0.770114183425903,-0.322761535644531,-0.755870699882507,-0.59964394569397
"Indonesia","ID","IDN",2012,-0.221852913498878,0.0676126480102539,-0.593262791633606,-0.331714361906052,-0.689105808734894,-0.583569049835205
"Indonesia","ID","IDN",2013,-0.123265877366066,0.0361213013529778,-0.51926463842392,-0.244258090853691,-0.660039663314819,-0.533191502094269
"Indonesia","ID","IDN",2014,-0.00835875049233437,0.153921663761139,-0.416824042797089,-0.064909890294075,-0.597599148750305,-0.310617834329605
"Indonesia","ID","IDN",2015,-0.141089960932732,0.18487124145031,-0.615060687065125,-0.296328127384186,-0.495113581418991,-0.405085533857346
"Indonesia","ID","IDN",2016,-0.0216069296002388,0.167968854308128,-0.372952431440353,-0.0159781314432621,-0.439895629882813,-0.321173399686813
"Indonesia","ID","IDN",2017,0.0417420007288456,0.131623446941376,-0.497903406620026,0.014091856777668,-0.280535876750946,-0.331988751888275
"Indonesia","ID","IDN",2018,-0.00980748608708382,0.154347538948059,-0.545908093452454,0.176904797554016,-0.276329666376114,-0.294692069292068
"Indonesia","ID","IDN",2019,0.0410407409071922,0.132110148668289,-0.493404567241669,0.173593521118164,-0.452071994543076,-0.323028594255447
"Indonesia","ID","IDN",2020,0.22881618142128,0.101115196943283,-0.448744028806686,0.350167453289032,-0.432469308376312,-0.327540189027786
"Iran, Islamic Rep.","IR","IRN",2010,-1.70923280715942,-1.60616195201874,-1.63059186935425,-0.483971029520035,-0.948633968830109,-1.02666425704956
"Iran, Islamic Rep.","IR","IRN",2011,-1.52120280265808,-1.5831161737442,-1.4217677116394,-0.438510596752167,-0.880579233169556,-0.967787086963654
"Iran, Islamic Rep.","IR","IRN",2012,-1.4260185956955,-1.60021269321442,-1.32392609119415,-0.527663171291351,-0.797346830368042,-0.918653786182404
"Iran, Islamic Rep.","IR","IRN",2013,-1.49050867557526,-1.60837185382843,-1.24968659877777,-0.677003026008606,-0.693658530712128,-0.996962249279022
"Iran, Islamic Rep.","IR","IRN",2014,-1.45748889446259,-1.58074295520782,-0.874987661838531,-0.427461057901382,-0.625268459320068,-1.05270552635193
"Iran, Islamic Rep.","IR","IRN",2015,-1.31435525417328,-1.5135885477066,-0.92570173740387,-0.209973752498627,-0.610128343105316,-0.923921585083008
"Iran, Islamic Rep.","IR","IRN",2016,-1.23414504528046,-1.34296941757202,-0.813075423240662,-0.192301854491234,-0.717735409736633,-0.680720984935761
